clusterName,avg_precision,avg_recall,avg_f_score,avg_onTarget
Degenerative Outer Medullary Collecting Duct Principal Cell,0.3450206658194127,0.17961185753892087,0.27390653669364085,0.16590214
Degenerative Peritubular Capilary Endothelial Cell,0.2595454864774088,0.08398950131233596,0.03503689273218291,0.053671222
Degenerative Podocyte,0.5621230779788569,0.1840277777777778,0.365962935071587,0.40352407
Degenerative Proximal Tubule Epithelial Cell,0.4138104494905261,0.2799718780209158,0.367051872345244,0.18354946
Degenerative Vascular Smooth Muscle Cell,0.6373125441416597,0.3222222222222222,0.5253757008701657,0.42313978
Descending Thin Limb Cell Type 1,0.34673375603466616,0.14436450839328535,0.25583713041697076,0.11425434
Descending Thin Limb Cell Type 2,0.30816644335271864,0.16806167400881059,0.2538588832074823,0.17144412
Descending Thin Limb Cell Type 3,0.3240306128528487,0.20292145593869731,0.2851685362077541,0.18829817
Descending Vasa Recta Endothelial Cell,0.48317667660417457,0.2402127659574468,0.3963352023502232,0.23798142
Distal Convoluted Tubule Cell Type 1,0.5384450902055105,0.24802403078944898,0.431407807393702,0.20459414
Distal Convoluted Tubule Cell Type 2,0.09353881290381219,0.11496786042240588,0.08558894436170064,0.09901158
Fibroblast,0.5574467209824552,0.19159964253798034,0.39516803846415727,0.24350227
Glomerular Capillary Endothelial Cell,0.5434006908583602,0.26484517304189437,0.4260837360822738,0.44604096
Inner Medullary Collecting Duct Cell,0.5781978999925095,0.3497924297924298,0.506745567531255,0.34825552
Intercalated Cell Type B,0.3949433809163334,0.19395571514063434,0.30570736920635055,0.11953287
Lymphatic Endothelial Cell,0.5173000614134469,0.16323529411764706,0.31322309673225257,0.3690155
M2 Macrophage,0.5113220881938687,0.24227727991565629,0.363531250108334,0.3526401
Macula Densa Cell,0.3496589583928535,0.1704328274311411,0.27536446717767254,0.31504428
Mast Cell,0.4915083977375389,0.349025974025974,0.39434661658534953,0.5060229
Medullary Fibroblast,0.7496806241313074,0.3722234328466623,0.6134639048983466,0.38443336
Medullary Thick Ascending Limb Cell,0.6214142174494727,0.34571133857018166,0.5281579491043115,0.39644775
Mesangial Cell,0.39227065811238854,0.11673944687045124,0.24961686521736945,0.1894215
Monocyte-derived Cell,0.31285197443243423,0.17987137383689109,0.24680966513471295,0.14251885
Myofibroblast,0.2527873548204984,0.1227316141356256,0.19955495018120337,0.14352569
Natural Killer Cell / Natural Killer T Cell,0.2562823455532966,0.2084933100639907,0.23336853724888545,0.15337983
Neutrophil,0.2923340939652502,0.27340823970037453,0.10799879244605438,0.17015179
Non-classical Monocyte,0.41066402027463067,0.10491803278688525,0.2167189327393314,0.23698762
Outer Medullary Collecting Duct Intercalated Cell Type A,0.5605117450466651,0.20632551528073914,0.414221654131475,0.47437802
Outer Medullary Collecting Duct Principal Cell,0.4029955827489611,0.16197916666666667,0.30747679216269275,0.26836628
Papillary Tip Epithelial Cell,0.66632839527937,0.19349999999999998,0.44241017169852925,0.49524778
Parietal Epithelial Cell,0.3103067972849646,0.13936834373852366,0.20615941465003698,0.08603791
Peritubular Capilary Endothelial Cell ,0.39497257371517314,0.30070716811314685,0.3281238295149128,0.14591834
Plasma Cell,0.28169459963440147,0.1252383979656707,0.08028675807190229,0.10448127
Plasmacytoid Dendritic Cell,0.5985411997953054,0.16989247311827957,0.37167743999906816,0.36706015
Podocyte,0.8843289646024216,0.5070669168230144,0.7527475091745662,0.74653745
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,0.47018570421599376,0.3929053132187269,0.424163791073222,0.3493599
Proximal Tubule Epithelial Cell Segment 3,0.2583510912370483,0.22015065913370999,0.2311310227048818,0.27537173
Renin-positive Juxtaglomerular Granular Cell,0.3985096537147491,0.06333333333333334,0.10041267884983202,0.1194931
Schwann Cell / Neural,0.47103559492353303,0.20761904761904762,0.28381678158215357,0.47236606
T Cell,0.46827510252851773,0.3085706954067231,0.4046588852823705,0.2727693
Transitional Principal-Intercalated Cell,0.07191951541490899,0.13294346978557503,0.07279159420959168,0.1207547
Vascular Smooth Muscle Cell,0.4894287922209256,0.15638638347395986,0.31710709552765104,0.23793176
Vascular Smooth Muscle Cell / Pericyte,0.39761827960546536,0.15643335643335643,0.28468910227491756,0.10428221
