software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,ann_finest_level,Deuterosomal,1004,0.32657657657657657,0.6010362694300518,0.11553784860557768,490264,77,888,116,4,"['ENSG00000138193', 'ENSG00000165309', 'ENSG00000079616', 'ENSG00000173207']","['ENSG00000138193', 'ENSG00000165309', 'ENSG00000077327', 'ENSG00000023287', 'ENSG00000079616', 'ENSG00000173207', 'ENSG00000069329', 'ENSG00000106244', 'ENSG00000106400', 'ENSG00000141002']",0.16504472,fold_14
4.1,ann_finest_level,Multiciliated (nasal),4869,0.18834523785018834,0.1674597364568082,0.3758471965495995,477378,9098,3039,1830,3,"['ENSG00000077327', 'ENSG00000165309', 'ENSG00000170248']","['ENSG00000156042', 'ENSG00000077327', 'ENSG00000165309', 'ENSG00000023287', 'ENSG00000171603', 'ENSG00000170248', 'ENSG00000069329', 'ENSG00000044115', 'ENSG00000182154', 'ENSG00000106400']",0.3907049,fold_14
4.1,ann_finest_level,Multiciliated (non-nasal),31248,0.7312902558647993,0.7605823154336637,0.6336725550435228,453864,6233,11447,19801,1,['ENSG00000165309'],"['ENSG00000156042', 'ENSG00000165309', 'ENSG00000077327', 'ENSG00000023287', 'ENSG00000069329', 'ENSG00000044115', 'ENSG00000182154', 'ENSG00000109390']",0.40226683,fold_14
4.1,ann_finest_level,Club (non-nasal),9955,0.06371646017326499,0.05206433855152245,0.6080361627322953,371183,110207,3902,6053,1,['ENSG00000106537'],['ENSG00000106537'],0.05229288,fold_14
4.1,ann_finest_level,Club (nasal),26068,0.2414181047307349,0.2549212115261892,0.19920975909160657,450099,15178,20875,5193,2,"['ENSG00000266412', 'ENSG00000106537']","['ENSG00000266412', 'ENSG00000145860', 'ENSG00000044115', 'ENSG00000010256', 'ENSG00000106537', 'ENSG00000116171', 'ENSG00000182154', 'ENSG00000111639']",0.09101752,fold_14
4.1,ann_finest_level,Goblet (nasal),31248,0.3198214086808005,0.360389100988442,0.22052611367127495,447867,12230,24357,6891,2,"['ENSG00000044115', 'ENSG00000106537']","['ENSG00000044115', 'ENSG00000106537']",0.07793253,fold_14
4.1,ann_finest_level,Goblet (bronchial),1670,0.03389459873168598,0.02814344076259646,0.18562874251497005,478970,10705,1360,310,6,"['ENSG00000138674', 'ENSG00000187257', 'ENSG00000145860', 'ENSG00000160752', 'ENSG00000106537', 'ENSG00000141002']","['ENSG00000138674', 'ENSG00000187257', 'ENSG00000145860', 'ENSG00000160752', 'ENSG00000106537', 'ENSG00000141002', 'ENSG00000044115', 'ENSG00000172216']",0.080933355,fold_14
4.1,ann_finest_level,Goblet (subsegmental),968,0.00723718219841158,0.005802944806081787,0.6363636363636364,384840,105537,352,616,1,['ENSG00000106537'],['ENSG00000106537'],0.061889373,fold_14
4.1,ann_finest_level,AT0,1440,0.017660335326533005,0.014432866211522339,0.1673611111111111,473448,16457,1199,241,3,"['ENSG00000145860', 'ENSG00000044115', 'ENSG00000107372']","['ENSG00000145860', 'ENSG00000044115', 'ENSG00000107372', 'ENSG00000172216']",0.04411007,fold_14
4.1,ann_finest_level,pre-TB secretory,4393,0.018846346396152958,0.015179165947372316,0.5604370589574322,327218,159734,1931,2462,1,['ENSG00000145860'],['ENSG00000145860'],0.07074045,fold_14
